James Cameron;0 
CCH Pounder;1 
Joel David Moore;2 
Wes Studi;3 
Action;4 
Gore Verbinski;5 
Johnny Depp;6 
Orlando Bloom;7 
Jack Davenport;8 
Sam Mendes;9 
Christoph Waltz;10 
Rory Kinnear;11 
Stephanie Sigman;12 
Christopher Nolan;13 
Tom Hardy;14 
Christian Bale;15 
Joseph Gordon-Levitt;16 
Doug Walker;17 
Rob Walker;18 
;19 
Documentary;20 
Sam Raimi;21 
J.K. Simmons;22 
James Franco;23 
Kirsten Dunst;24 
Nathan Greno;25 
Brad Garrett;26 
Donna Murphy;27 
M.C. Gainey;28 
Adventure;29 
Joss Whedon;30 
Chris Hemsworth;31 
Robert Downey Jr.;32 
Scarlett Johansson;33 
David Yates;34 
Alan Rickman;35 
Daniel Radcliffe;36 
Rupert Grint;37 
Zack Snyder;38 
Henry Cavill;39 
Lauren Cohan;40 
Alan D. Purwin;41 
Bryan Singer;42 
Kevin Spacey;43 
Marlon Brando;44 
Frank Langella;45 
Marc Forster;46 
Giancarlo Giannini;47 
Mathieu Amalric;48 
Ruth Wilson;49 
Tom Wilkinson;50 
Christopher Meloni;51 
Harry Lennix;52 
Andrew Adamson;53 
Peter Dinklage;54 
Pierfrancesco Favino;55 
Damián Alcázar;56 
Rob Marshall;57 
Sam Claflin;58 
Stephen Graham;59 
Barry Sonnenfeld;60 
Will Smith;61 
Michael Stuhlbarg;62 
Nicole Scherzinger;63 
Peter Jackson;64 
Aidan Turner;65 
Adam Brown;66 
James Nesbitt;67 
Marc Webb;68 
Emma Stone;69 
Andrew Garfield;70 
Chris Zylka;71 
Ridley Scott;72 
Mark Addy;73 
William Hurt;74 
Scott Grimes;75 
Chris Weitz;76 
Christopher Lee;77 
Eva Green;78 
Kristin Scott Thomas;79 
Naomi Watts;80 
Thomas Kretschmann;81 
Evan Parke;82 
Leonardo DiCaprio;83 
Kate Winslet;84 
Gloria Stuart;85 
Drama;86 
Anthony Russo;87 
Chris Evans;88 
Peter Berg;89 
Liam Neeson;90 
Alexander Skarsgård;91 
Tadanobu Asano;92 
Colin Trevorrow;93 
Bryce Dallas Howard;94 
Judy Greer;95 
Omar Sy;96 
Albert Finney;97 
Helen McCrory;98 
Tim Burton;99 
Anne Hathaway;100 
Brett Ratner;101 
Hugh Jackman;102 
Kelsey Grammer;103 
Daniel Cudmore;104 
Dan Scanlon;105 
Steve Buscemi;106 
Tyler Labine;107 
Sean Hayes;108 
Michael Bay;109 
Glenn Morshower;110 
Kevin Dunn;111 
Ramon Rodriguez;112 
Bingbing Li;113 
Sophia Myles;114 
Tim Holmes;115 
Mila Kunis;116 
B.J. Novak;117 
John Lasseter;118 
Joe Mantegna;119 
Eddie Izzard;120 
Martin Campbell;121 
Ryan Reynolds;122 
Temuera Morrison;123 
Taika Waititi;124 
Lee Unkrich;125 
Tom Hanks;126 
John Ratzenberger;127 
Don Rickles;128 
McG;129 
Common;130 
Peter Capaldi;131 
Brad Pitt;132 
Mireille Enos;133 
Jennifer Lawrence;134 
Eddie Marsan;135 
Ewen Bremner;136 
Ralph Brown;137 
Baz Luhrmann;138 
Elizabeth Debicki;139 
Steve Bisley;140 
Mike Newell;141 
Jake Gyllenhaal;142 
Richard Coyle;143 
Reece Ritchie;144 
Guillermo del Toro;145 
Charlie Hunnam;146 
Clifton Collins Jr.;147 
Larry Joe Campbell;148 
Lester Speight;149 
Steven Spielberg;150 
Harrison Ford;151 
Ray Winstone;152 
Jim Broadbent;153 
Peter Sohn;154 
A.J. Buckley;155 
Jack McGraw;156 
Mark Andrews;157 
Kelly Macdonald;158 
Julie Walters;159 
Justin Lin;160 
Sofia Boutella;161 
Melissa Roxburgh;162 
Lydia Wilson;163 
Tzi Ma;164 
Dana Ivey;165 
Noémie Lenoir;166 
Roland Emmerich;167 
Oliver Platt;168 
Liam James;169 
Tom McCarthy;170 
Robert Zemeckis;171 
Robin Wright;172 
Colin Firth;173 
Gary Oldman;174 
Animation;175 
Lana Wachowski;176 
Channing Tatum;177 
Eddie Redmayne;178 
Casper Crump;179 
Michael Fassbender;180 
Tye Sheridan;181 
Heath Ledger;182 
Morgan Freeman;183 
Pete Docter;184 
Delroy Lindo;185 
Jess Harnell;186 
Rob Letterman;187 
Amy Poehler;188 
Rainn Wilson;189 
Stephen Colbert;190 
Jon Favreau;191 
Jeff Bridges;192 
Martin Scorsese;193 
Chloë Grace Moretz;194 
Salma Hayek;195 
Bai Ling;196 
