Avatar;2782275172
Avengers: Endgame;2713201784
Titanic;2185372302
Star Wars: Episode VII - The Force Awakens;2068223624
Avengers: Infinity War;2048359754
Jurassic World;1670400637
The Avengers;1519557910
Furious Seven;1516045911
Avengers: Age of Ultron;1405403694
Black Panther;1346913161
Harry Potter and the Deathly Hallows: Part 2;1341511219
Star Wars: Episode VIII - The Last Jedi;1332539889
Jurassic World: Fallen Kingdom;1309484461
Frozen;1274219009
Beauty and the Beast;1263521126
Incredibles 2;1242805359
The Fate of the Furious;1236005118
Iron Man Three;1215439994
Minions;1159398397
Captain America: Civil War;1153304495
Aquaman;1147761807
Captain Marvel;1127567102
Transformers: Dark of the Moon;1123746996
The Lord of the Rings: The Return of the King;1119110941
Skyfall;1108561013
Transformers: Age of Extinction;1104054072
The Dark Knight Rises;1084439099
Pirates of the Caribbean: Dead Man's Chest;1066179725
Toy Story 3;1063161943
Rogue One;1056057273
Pirates of the Caribbean: On Stranger Tides;1045713802
Despicable Me 3;1034799409
Jurassic Park;1029153882
Finding Dory;1028570889
Star Wars: Episode I - The Phantom Menace;1027044677
Alice in Wonderland;1025467110
Zootopia;1023784195
The Hobbit: An Unexpected Journey;1021103568
The Dark Knight;1004558444
The Lion King;987483777
Harry Potter and the Sorcerer's Stone;974755371
Despicable Me 2;970761885
The Jungle Book;966550600
Pirates of the Caribbean: At World's End;963420425
Jumanji: Welcome to the Jungle;962077546
The Hobbit: The Desolation of Smaug;960366855
Harry Potter and the Deathly Hallows: Part 1;960283305
The Hobbit: The Battle of the Five Armies;956019788
Harry Potter and the Order of the Phoenix;939885929
Harry Potter and the Half-Blood Prince;934416487
The Lord of the Rings: The Two Towers;925282504
Finding Nemo;921743261
Shrek 2;920665658
Bohemian Rhapsody;903655259
Harry Potter and the Goblet of Fire;896911078
Spider-Man 3;890871626
Ice Age: Dawn of the Dinosaurs;886684521
Spectre;880674609
Spider-Man: Homecoming;880166924
Harry Potter and the Chamber of Secrets;878979634
Ice Age: Continental Drift;877244782
The Secret Life of Pets;875457937
Batman v Superman: Dawn of Justice;873634919
