James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action|Adventure|Fantasy|Sci-Fi,7.9,2782275172
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action|Adventure|Fantasy,7.1,963420425
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action|Adventure|Thriller,6.8,880674609
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action|Thriller,8.5,1084439099
Doug Walker,Doug Walker,Rob Walker,,Documentary,7.15,2068223624
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Romance,6.2,890871626
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,7.8,591794936
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action|Adventure|Sci-Fi,7.5,1405403694
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure|Family|Fantasy|Mystery,7.5,934416487
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action|Adventure|Sci-Fi,6.9,873634919
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action|Adventure|Sci-Fi,6.1,391081192
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action|Adventure,6.7,586090727
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action|Adventure|Fantasy,7.3,1066179725
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action|Adventure|Western,6.5,260502115
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action|Adventure|Fantasy|Sci-Fi,7.2,668045518
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action|Adventure|Family|Fantasy,6.6,419665568
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action|Adventure|Sci-Fi,8.1,1519557910
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action|Adventure|Fantasy,6.7,1045713802
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,6.8,624026776
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,7.5,956019788
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action|Adventure|Fantasy,7.0,752215857
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action|Adventure|Drama|History,6.7,322084673
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,7.9,960366855
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure|Family|Fantasy,6.1,372234864
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action|Adventure|Drama|Romance,7.2,550517357
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama|Romance,7.7,2185372302
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action|Adventure|Sci-Fi,8.2,1153304495
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action|Adventure|Sci-Fi|Thriller,5.9,304262565
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action|Adventure|Sci-Fi|Thriller,7.0,1670400637
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action|Adventure|Thriller,7.8,1108561013
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Fantasy|Romance,7.3,783766341
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure|Family|Fantasy,6.5,1025467110
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.8,459256008
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure|Animation|Comedy|Family|Fantasy,7.3,743559607
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action|Adventure|Sci-Fi,6.0,836303693
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action|Adventure|Sci-Fi,5.7,1104054072
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure|Family|Fantasy,6.4,493311825
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action|Adventure|Fantasy|Sci-Fi,6.7,708982323
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure|Animation|Comedy|Family|Sport,6.3,559852396
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action|Adventure|Sci-Fi,5.6,231201172
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure|Animation|Comedy|Family|Fantasy,8.3,1063161943
McG,Christian Bale,Bryce Dallas Howard,Common,Action|Adventure|Sci-Fi,6.6,371353001
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action|Adventure|Horror|Sci-Fi|Thriller,7.0,540007876
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action|Adventure|Fantasy|Sci-Fi|Thriller,8.0,747862775
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure|Fantasy,6.3,197687603
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama|Romance,7.3,351040419
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action|Adventure|Fantasy|Romance,6.6,336365676
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action|Adventure|Sci-Fi,7.0,411002906
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action|Adventure|Sci-Fi,6.3,1123746996
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action|Adventure|Fantasy,6.2,786636033
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,6.8,332207671
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure|Animation|Comedy|Family|Fantasy,7.2,538983207
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action|Adventure|Sci-Fi|Thriller,7.5,343471816
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action|Comedy|Crime|Thriller,6.2,258022233
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action|Adventure|Sci-Fi,5.8,788612167
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation|Drama|Family|Fantasy,6.8,325286646
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action|Adventure|Sci-Fi,5.4,183987723
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action|Adventure|Drama|Romance,6.6,356700357
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action|Adventure|Sci-Fi,7.3,543934787
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action|Crime|Drama|Thriller,9.0,1004558444
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure|Animation|Comedy|Family,8.3,731341856
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action|Adventure|Animation|Comedy|Family|Sci-Fi,6.5,381509870
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action|Adventure|Sci-Fi,7.9,585174222
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure|Drama|Family|Mystery,7.5,185770160
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action|Comedy|Sci-Fi|Western,4.8,222105681
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action|Adventure|Fantasy|Horror|Thriller,5.2,401128639
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action|Adventure|Comedy|Sci-Fi,6.9,746846894
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy|Family|Fantasy,5.4,173391888
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action|Adventure|Sci-Fi,7.9,370541256
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action|Adventure|Sci-Fi|Thriller,6.1,264218220
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action|Adventure|Sci-Fi|Thriller,5.8,302469019
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure|Animation|Comedy|Drama|Family|Fantasy,8.3,857611174
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure|Drama|Family|Fantasy,7.8,205843612
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action|Adventure|Sci-Fi,7.0,623933331
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action|Adventure|Drama|Fantasy,6.1,400893460
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action|Adventure|Family|Fantasy|Romance,7.0,758539785
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action|Adventure|Drama|Sci-Fi,7.6,710644566
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action|Adventure|Drama|Fantasy,6.3,149862475
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action|Adventure|Sci-Fi,7.8,713866572
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure|Animation|Comedy|Family|Fantasy,6.4,752600867
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action|Adventure|Family|Mystery|Sci-Fi,6.5,209154322
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,7.9,657818612
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure|Animation|Comedy|Family|Sci-Fi,7.8,471222889
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure|Animation|Family|Fantasy,6.6,306133860
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action|Adventure|Sci-Fi,5.5,389681935
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure|Animation|Family|Fantasy,8.2,494878759
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action|Sci-Fi,6.4,433371112
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action|Adventure|Sci-Fi,8.1,773312399
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure|Drama|Sci-Fi,8.6,675120017
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action|Adventure|Sci-Fi|Thriller,8.8,825532764
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,7.9,1021103568
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action|Crime|Thriller,6.7,207283925
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama|Fantasy|Romance,7.8,333932083
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action|Adventure|Sci-Fi,7.8,353624124
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure|Sci-Fi,6.6,653428261
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action|Adventure|Family|Fantasy,6.1,215283742
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action|Adventure|Drama|Thriller,5.6,181674817
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure|Family|Fantasy,6.4,299457024
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure|Animation|Comedy|Family|Fantasy,6.1,798958165
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action|Adventure|Fantasy,7.3,433677183
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action|Adventure|Sci-Fi,6.6,440603537
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure|Family|Fantasy,6.3,415686217
Michael Bay,Jennifer Garner,Jaime King,Mako,Action|Drama|History|Romance|War,6.1,449220945
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action|Adventure|Sci-Fi,7.1,709709780
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action|Adventure|Biography|Drama|History|Romance|War,5.5,167298192
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure|Family|Fantasy|Mystery,7.5,939885929
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure|Family|Fantasy|Mystery,7.6,896911078
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action|Drama,6.4,624386746
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama|Horror|Sci-Fi,7.2,585349010
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure|Comedy|Family|Fantasy,6.7,474968763
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation|Comedy|Family|Fantasy,8.0,623722818
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action|Adventure,8.3,374218673
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action|Adventure|Animation|Comedy|Family,6.7,603900344
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure|Comedy|Family|Fantasy,5.9,413106170
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.7,373062569
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action|Sci-Fi,6.7,427343298
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure|Animation|Comedy|Family|Fantasy|Musical,7.6,1274219009
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action|Sci-Fi,7.2,742128461
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action|Adventure|Fantasy,7.1,644662140
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action|Adventure|Sci-Fi|Thriller,8.1,378858340
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery|Thriller,6.7,485930816
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action|Adventure|Fantasy,7.0,449326618
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure|Animation|Comedy|Drama|Family,6.9,309979994
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,5.1,292810572
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action|Adventure|Fantasy,5.8,305270083
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy|Fantasy|Horror,6.2,245527149
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action|Adventure|Thriller,7.4,682330139
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama|Fantasy|Horror|Thriller,5.8,142161911
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action|Adventure|Drama|Romance,6.6,356700357
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure|Animation|Comedy|Family,6.2,287594584
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action|Adventure|Animation|Comedy|Family,7.3,665692281
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action|Adventure|Family|Fantasy,4.2,319713881
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action|Adventure|Thriller,6.9,397850012
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action|Drama|Thriller,6.4,205366737
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure|Animation|Comedy|Family,6.7,177943194
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure|Family|Fantasy,5.8,128388320
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure|Animation|Comedy|Family|Sci-Fi,6.9,268806430
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,7.2,497409852
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure|Animation|Comedy|Family,6.9,746921274
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action|Adventure|Thriller,6.1,431971116
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action|Comedy|Fantasy|Sci-Fi,5.5,229147509
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action|Adventure|Sci-Fi|Thriller,6.6,553709788
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,6.1,441818803
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action|Adventure|Animation|Fantasy,6.3,196275135
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action|Adventure|Animation|Comedy|Family,7.2,521170825
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action|Adventure|Thriller,7.4,694713380
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure|Animation|Family|Fantasy,7.3,306941670
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy|Crime,6.1,201580853
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action|Drama|History|War,7.7,456758981
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action|Adventure|Drama,6.1,268175631
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action|Adventure|Sci-Fi,8.0,385758801
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Fantasy|Romance,7.3,821708551
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action|Adventure|Animation|Comedy|Family|Fantasy,7.9,621537519
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action|Adventure|Fantasy,5.5,150680864
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,Action|Drama|Mystery|Sci-Fi,7.7,185258983
Richard Donner,Jet Li,Rene Russo,Darlene Love,Action|Crime|Thriller,6.6,285444603
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,Action|Sci-Fi,5.7,245284946
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action|Adventure|Sci-Fi|Thriller,5.8,371923060
Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Action|Adventure|Comedy|Thriller,6.0,119240351
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,Action|Adventure|Sci-Fi,6.9,370569774
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action|Adventure|Thriller,6.4,361832400
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,Action|Adventure|Drama|History|War,7.4,212011111
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure|Drama|Fantasy|Romance,5.5,829685377
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,Action|Adventure|Sci-Fi,6.8,263427551
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure|Family|Fantasy,6.8,183345589
Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure|Drama|Thriller|Western,8.1,532950503
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure|Animation|Comedy|Family|Sport,6.5,283128128
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Adventure|Animation|Comedy|Family|Western,7.2,245724600
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure|Animation|Comedy|Family,6.7,373015621
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Action|Mystery|Thriller,8.1,442824138
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action|Adventure|Animation|Comedy|Family,7.6,631744560
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Action|Adventure|Comedy|Sci-Fi,7.4,519311965
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure|Sci-Fi|Thriller,7.6,864110770
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure|Drama|Fantasy|Romance,5.5,829685377
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,6.7,386041607
Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure|Sci-Fi|Thriller,6.5,591745528
Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Action|Comedy|Crime|Thriller,6.6,273339556
Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Action|Adventure|Animation|Comedy|Family|Fantasy,6.7,554987477
Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action|Crime|Mystery|Thriller,6.4,293503354
Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Action|Adventure|Drama,5.8,362637473
Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Action|Adventure|Family|Mystery,7.4,373993951
Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure|Family|Fantasy|Mystery,7.8,796688549
Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Adventure|Drama|Romance|War,6.6,211342221
M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Action|Adventure|Sci-Fi,4.9,245055287
Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure|Animation|Family|Thriller,6.5,354248063
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure|Comedy|Family|Fantasy,6.2,363204635
Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Action|Animation|Comedy|Family|Sci-Fi,7.3,321885765
Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure|Family|Fantasy,7.5,974755371
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action|Adventure|Fantasy,8.1,654264015
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure|Sci-Fi|Thriller,6.7,755356711
Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery|Thriller,6.6,758239851
Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure|Animation|Comedy|Family|Musical,6.4,500101972
Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Action|Crime|Thriller,7.3,628638927
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action|Adventure|Crime|Mystery|Thriller,7.5,545448418
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Action|Adventure|Fantasy,5.8,493214888
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action|Sci-Fi,7.5,198467168
Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Action|Adventure|Thriller,6.7,276572938
Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,Action,3.7,238207122
Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Comedy|Family|Fantasy,6.0,345141403
Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action|Adventure|Sci-Fi|Thriller,6.4,544272402
John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Action|Adventure|Thriller,6.1,545902562
Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action|Adventure|Drama|Thriller,6.4,328718434
Ang Lee,Suraj Sharma,Rafe Spall,Tabu,Adventure|Drama|Fantasy,8.0,609016565
Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Action|Fantasy|Thriller,5.2,228738393
Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,Action|Thriller,7.1,415484914
McG,Demi Moore,Bernie Mac,Justin Theroux,Action|Adventure|Comedy|Crime,4.8,259175788
Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,Adventure|Mystery|Sci-Fi,7.0,403354469
Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Adventure|Animation|Comedy|Family|Fantasy,5.4,169956806
Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Action|Drama|Sci-Fi|Thriller,6.6,286007248
David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Action|Adventure|Sci-Fi|Thriller,6.7,115366752
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action|Crime|Sci-Fi|Thriller,6.2,242707007
James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,Action|Comedy|Romance,6.3,261930446
Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Action|Adventure|Mystery|Sci-Fi,7.0,286835157
George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action|Adventure|Fantasy|Sci-Fi,7.6,849997605
George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action|Adventure|Fantasy|Sci-Fi,6.7,649398328
James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action|Adventure|Sci-Fi|Thriller,6.7,415356852
George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Action|Adventure|Fantasy|Sci-Fi,6.5,1027044677
Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Adventure|Animation|Comedy|Family|Fantasy,7.3,587204668
Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Action|Adventure|Drama|Fantasy,6.1,164989338
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action|Adventure|Comedy|Sci-Fi,5.9,201965915
Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Adventure|Drama|Sci-Fi|Thriller,7.8,716392705
Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,Action|Adventure|Thriller,5.8,178127760
Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Action|Adventure|Comedy|Sci-Fi,6.3,245623848
Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action|Adventure|Sci-Fi,4.3,167977596
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Action|Adventure|Comedy|Family|Fantasy,6.4,574480841
